campaign_id,campaign_name,channel,start_date,end_date,budget
CAMP0001,Festive Sale 1,Social Media,2025-10-23,2025-11-27,704244.09
CAMP0002,Weekend Deal 2,Search Ads,2026-02-17,2026-03-13,519105.46
CAMP0003,Festive Sale 3,Social Media,2025-03-24,2025-05-08,747807.23
CAMP0004,Festive Sale 4,SMS,2025-09-14,2025-09-22,963815.55
CAMP0005,Weekend Deal 5,Email,2025-01-22,2025-02-15,774953.55
CAMP0006,Weekend Deal 6,Affiliate,2025-06-29,2025-08-05,470117.93
CAMP0007,Weekend Deal 7,Social Media,2025-10-12,2025-10-30,653045.48
CAMP0008,Premium Upgrade 8,Push Notification,2026-05-19,2026-05-31,437930.69
CAMP0009,New User Offer 9,Push Notification,2025-11-25,2025-12-08,441062.84
CAMP0010,Flash Sale 10,Social Media,2026-05-23,2026-06-17,822887.73
CAMP0011,Festive Sale 11,Push Notification,2025-02-07,2025-03-15,289778.91
CAMP0012,Weekend Deal 12,Email,2025-04-29,2025-05-31,674777.37
CAMP0013,Festive Sale 13,SMS,2026-04-19,2026-05-22,542517.42
CAMP0014,Festive Sale 14,SMS,2026-05-26,2026-06-30,303703.43
CAMP0015,Premium Upgrade 15,Affiliate,2025-05-15,2025-06-09,510476.21
CAMP0016,New User Offer 16,Affiliate,2025-01-30,2025-03-16,200459.26
CAMP0017,Premium Upgrade 17,Email,2025-01-15,2025-02-26,263465.63
CAMP0018,Festive Sale 18,Affiliate,2025-04-27,2025-06-02,840536.02
CAMP0019,Weekend Deal 19,Affiliate,2026-05-26,2026-06-20,309753.65
CAMP0020,New User Offer 20,Social Media,2026-05-10,2026-06-16,573701.82
